agent_id,risk_score,risk_level,risk_factors,triggered_factors,recommendations,last_updated
agent_001,0.0,Low,[],[],['Maintain current performance.'],2026-03-27 20:44:07
agent_01,0.0,Low,[],[],['Maintain current performance.'],2026-03-27 20:44:07
agent_02,0.2,Medium,"[{'factor': 'Stress Spike', 'description': 'High stress levels detected in recent calls.', 'contribution': 0.2}]",[],['High stress levels detected in recent calls.'],2026-03-27 20:44:07
agent_03,0.2,Medium,"[{'factor': 'Stress Spike', 'description': 'High stress levels detected in recent calls.', 'contribution': 0.2}]",[],['High stress levels detected in recent calls.'],2026-03-27 20:44:07
